DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,longitude,latitude,x_utm44n,y_utm44n
Tirap,Arunanchal Pradesh,12,10,254,95.440928,26.947124,1942447.3,3064117.0
Tiruchirappalli,Tamil Nadu,33,13,614,78.570439,10.888914,234412.1,1204760.8
Tirunelveli,Tamil Nadu,33,27,628,77.541954,8.798697,119482.8,974354.9
Tiruppur,Tamil Nadu,33,32,633,77.405415,10.838129,106859.7,1200402.5
Tiruvannamalai,Tamil Nadu,33,5,606,79.167693,12.431083,300828.2,1374908.5
Tonk,Rajasthan,8,22,120,75.671866,26.145780,-33040.4,2902770.5
Tuensang,Nagaland,13,7,267,94.905752,26.200192,1897686.3,2973725.0
Tumkur,Karnataka,29,17,571,76.947667,13.520228,61164.6,1498299.4
Udaipur,Rajasthan,8,32,130,73.706403,24.407655,-240809.9,2718916.2
Udalguri,Assam,18,27,326,92.037268,26.730067,1601741.9,3004660.3
Udhampur,Jammu & Kashmir,1,19,19,75.327634,32.894046,-30879.0,3653841.2
Udham Singh Nagar,Uttarakhand,5,12,67,79.523466,29.027456,356215.2,3211926.7
Udupi,Karnataka,29,15,569,74.883498,13.466689,-163151.8,1497012.3
Ujjain,Madhya Pradesh,23,18,435,75.668392,23.331689,-45591.2,2590311.9
Ukhrul,Manipur,14,8,279,94.433985,25.020252,1863454.8,2835635.0
Umaria,Madhya Pradesh,23,14,431,80.971893,23.564404,497131.7,2606001.6
Una,Himachal Pradesh,2,7,29,76.210080,31.580659,45278.7,3503925.0
Unnao,Uttar Pradesh,9,25,156,80.559350,26.609176,456130.5,2943224.7
Upper Siang,Arunanchal Pradesh,12,8,252,94.918055,28.833555,1864968.0,3270521.5
Upper Subansiri,Arunanchal Pradesh,12,5,249,93.936737,28.289952,1774528.5,3198272.8
Uttar Dinajpur,West Bengal,19,4,330,88.158248,25.880980,1218264.8,2882156.1
Uttara Kannada,Karnataka,29,9,563,74.622917,14.794090,-187479.0,1645350.3
Uttarkashi,Uttarakhand,5,1,56,78.603884,30.973055,271156.4,3429079.2
Vadodara,Gujarat,24,19,486,73.531919,22.233081,-271164.3,2477716.8
Vaishali,Bihar,10,18,220,85.370015,25.762314,938483.5,2856639.4
Valsad,Gujarat,24,24,491,73.114709,20.418519,-324623.9,2277680.1
Varanasi,Uttar Pradesh,9,66,197,82.917583,25.388050,692913.5,2809301.5
Vellore,Tamil Nadu,33,4,605,79.010374,12.812269,284041.9,1417207.2
Vidisha,Madhya Pradesh,23,26,443,77.813360,23.892709,175502.1,2646005.4
Viluppuram,Tamil Nadu,33,6,607,79.292148,11.973468,314041.3,1324194.8
Virudunagar,Tamil Nadu,33,24,625,77.943090,9.483973,164309.7,1049836.2
Visakhapatnam,Andhra Pradesh,28,13,544,82.692473,17.890899,679300.8,1978928.8
Vizianagaram,Andhra Pradesh,28,12,543,83.379276,18.467380,751262.6,2043549.1
Warangal,Andhra Pradesh,28,9,540,79.799226,17.955165,372843.3,1985636.0
Wardha,Maharashtra,27,8,504,78.587639,20.795772,248890.9,2301423.0
Washim,Maharashtra,27,6,502,77.219042,20.237560,104869.1,2242284.4
Wayanad,Kerala,32,3,590,76.098133,11.711246,-34776.9,1299275.9
West,NCT of Delhi,7,7,96,77.065700,28.655321,115370.8,3176138.1
West,Sikkim,11,2,242,88.177943,27.349122,1211029.7,3045636.3
West Garo Hills,Meghalaya,17,1,293,90.144814,25.585050,1420848.1,2861647.8
West Godavari,Andhra Pradesh,28,15,546,81.402263,16.894620,542842.3,1867941.1
West Kameng,Arunanchal Pradesh,12,2,246,92.410975,27.302869,1633449.9,3072204.8
West Khasi Hills,Meghalaya,17,4,296,91.260782,25.526494,1534450.8,2863449.7
West Nimar,Madhya Pradesh,23,23,440,75.774508,21.920479,-40223.8,2433239.4
West Siang,Arunanchal Pradesh,12,6,250,94.511613,28.320870,1831335.7,3208122.9
West Tripura,Tripura,16,1,289,91.464871,23.802233,1570048.4,2672069.0
Wokha,Nagaland,13,4,264,94.192629,26.184872,1825390.1,2964287.4
Yadgir,Karnataka,29,26,580,76.913636,16.626412,63870.3,1842683.0
Yavatmal,Maharashtra,27,14,510,78.162227,20.083941,203218.4,2223295.6
Zunheboto,Nagaland,13,3,263,94.525282,26.031634,1861014.1,2950566.7
Kabeerdham,Chhattisgarh,22,8,407,81.223075,22.091031,523011.3,2442919.7
Yamunanagar,Haryana,6,3,71,77.304982,30.236438,144349.6,3350765.1
Jind,Haryana,6,9,77,76.300931,29.435381,43976.1,3265426.8
Dausa,Rajasthan,8,11,109,76.513947,26.856096,54078.8,2978393.5
Karauli,Rajasthan,8,9,107,76.963851,26.520679,97667.5,2939682.4
Sawai Madhopur,Rajasthan,8,10,108,76.467921,26.216853,46986.1,2907625.2
Arwal,Bihar,10,38,240,84.690404,25.161580,872074.4,2787938.8
Jehanabad,Bihar,10,37,239,85.030135,25.156570,906378.4,2788366.9
Nagappattinam,Tamil Nadu,33,17,618,79.738900,10.849429,362152.7,1199616.4
Karaikal,Puducherry,34,4,637,79.802063,10.934378,369094.9,1208983.2
Puducherry,Puducherry,34,2,635,79.732999,11.912098,362020.5,1317148.6
Yanam,Puducherry,34,1,634,82.254560,16.726649,633740.4,1849737.5
Tapi,Gujarat,24,26,493,73.631189,21.191573,-266421.6,2361234.1
Nicobar,Andaman & Nicobar Island,35,1,638,93.602851,7.516872,1901437.8,851300.0
South Andaman,Andaman & Nicobar Island,35,3,640,92.648960,11.519264,1778478.6,1299618.1
North & Middle Andaman,Andaman & Nicobar Island,35,2,639,92.867521,12.837902,1796189.5,1449355.3
Lakshadweep,Lakshadweep,31,1,587,72.735057,11.091062,-405547.4,1238677.5
