DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,20_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean,19_mean
Banda,Uttar Pradesh,9,39,170,0.447972499,0.833252198,0.743980697,0.825485096,0.725719958,0.572597573,0.573830386,0.559302244,0.583682636,0.721761037,0.769663505,0.92351439,0.643681783,0.651164915,0.74195149,0.766898538,0.86742164,0.680235288,0.427669741,0.407119737,0.563713808,0.687943034,0.665972328,0.568688615
Bandipore,Jammu & Kashmir,1,9,9,0.264388384,0.427200739,0.355492221,0.3940664,0.421437375,0,0.33836543,0.369529349,0.366552921,0.39406409,0.483981665,0.526934214,0.376077648,0.320168695,0.401484363,0.369157295,0.344600217,0.05782468,0.298226005,0.251193961,0.303725158,0.46466954,0.409239716,0.342955632
Bangalore Rural,Karnataka,29,29,583,2.956059463,3.396544147,3.13251171,3.007134233,2.807251347,2.864730628,1.256746847,1.886445046,2.750675674,2.881987388,2.901855861,2.978128827,2.922281081,2.697611712,3.225137838,2.958388289,2.928884686,3.429617112,3.49043333,2.985325229,2.153490992,2.490646845,2.84485676,2.922697294
Bangalore,Karnataka,29,18,572,21.50930359,22.18365781,20.53959877,19.09339797,16.27493791,12.07376289,6.015769969,12.64749426,11.63850688,13.37061807,17.9720042,17.88862246,22.73778848,21.00209113,21.79579768,20.77504682,18.39621895,17.61580721,19.38979844,15.59440487,15.96177016,15.33000668,19.37570118,19.96410775
Banka,Bihar,10,23,225,0.819092789,1.072861441,1.081689654,1.074129153,0.848729779,0.704316613,0.360331034,0.762030093,0.730868964,0.894493415,1.142268337,1.821805015,0.9330884,1.070543573,0.961216927,0.804263321,0.88471724,0.828696551,0.585126018,0.640799999,0.683269591,1.392921002,1.175179936,0.959517241
Bankura,West Bengal,19,13,339,0.626476174,0.88483998,0.911936955,0.998623749,0.804227399,0.658497604,0.655888822,0.467177764,0.048112935,0.826215096,0.802435296,1.154599597,0.716161521,0.951254641,0.800282619,0.77464892,0.909271763,0.861711029,0.602175071,0.557071463,0.663038523,1.054286361,0.752145306,0.683229016
Banswara,Rajasthan,8,27,125,0.656708258,0.990301905,1.002913921,1.053253784,0.965926879,0.543917803,0.607798088,0.481682735,0.428709043,0.752782164,0.823022118,0.880984686,0.569547576,0.660394397,0.856850922,0.96589503,0.938366563,0.778204266,0.47053488,0.343471053,0.487487892,0.731692333,0.639461629,0.600194145
Bara Banki,Uttar Pradesh,9,45,176,0.928732684,1.459803052,1.205987004,1.158528686,1.048728152,1.021495995,1.008973454,0.935392132,0.898184656,1.126091774,1.176251951,1.437343475,1.080881478,1.187469903,1.646006648,1.239501333,1.47685992,1.102192615,0.920067999,0.835190147,0.823371278,1.273332997,1.240700145,1.143981765
Bargarh,Odisha,21,1,370,0.371656325,0.641711823,0.684387797,0.747666321,0.716310237,0.481629093,0.313299896,0.04878628,0.220558428,0.619048603,0.732502585,0.822128231,0.510390899,0.586424336,0.643102722,0.656630816,0.749816614,0.579446397,0.158550845,0.371061358,0.415059979,0.612412271,0.542761116,0.491689762
Baramula,Jammu & Kashmir,1,8,8,0.878161057,0.909876802,0.849737579,0.969479166,1.135721153,1.039400039,1.027382812,1.056135817,1.119461137,1.15636318,1.03827524,0.918318308,0.895702123,0.891776843,0.795402644,1.027646233,1.016149839,0.990322517,1.07448718,0.954465143,1.061554487,1.065176282,0.742675279,0.716803887
Baran,Rajasthan,8,30,128,0.704142829,1.030271823,0.964800329,1.670515754,0.917123785,0.476273589,0.833339594,0.61841004,0.563803261,0.797056328,0.962688355,1.064478694,0.87046879,0.878663934,0.993426123,1.092218711,1.460733498,0.855641419,0.529872199,0.518068482,0.594202316,0.857906525,0.795956507,0.787693336
Barddhaman,West Bengal,19,9,335,2.072699777,2.39079295,2.478206489,2.481049804,1.96348405,1.627062675,1.280648853,1.204839955,0.250715445,2.036157805,2.173354224,2.927342755,2.295773923,2.80044208,2.115250979,1.815697257,2.063364857,1.937806939,1.428554839,1.471731393,1.513628427,2.536059597,2.029702294,2.179074706
Bareilly,Uttar Pradesh,9,19,150,1.427738639,2.126654046,1.642493024,1.587260363,1.460508669,1.486839876,1.270917696,1.178317556,1.328752988,1.672439717,1.651209645,2.50162415,1.657401852,1.66679404,1.920857413,1.685593861,1.746996811,1.35178856,1.253601036,1.082894578,1.141872259,1.996007871,1.980304403,1.645370664
Barmer,Rajasthan,8,17,115,0.358710812,0.566309118,0.591313292,0.607139489,0.574314698,0.538503643,0.495942651,0.421534247,0.550403609,0.560176545,0.575897699,0.63477419,0.312079567,0.40192285,0.467645836,0.556587787,0.490242818,0.430721052,0.417606725,0.326371859,0.475838081,0.494240958,0.464794291,0.36001813
Barnala,Punjab,3,20,54,1.003245669,1.403127259,1.309485229,1.400951016,1.096263242,1.12740496,1.064323819,1.150258007,1.201255141,1.50934563,1.255072916,1.639491461,1.135824504,1.175970334,1.12189829,1.295484232,1.225642527,0.993392745,1.120691761,1.148178985,1.129551289,1.779737006,1.331094353,1.14386763
Barpeta,Assam,18,4,303,0.354985464,0.61766758,0.657606943,0.715527867,0.487365229,0.38500789,0.169769914,0.400206827,0.41213722,0.621412077,0.644562671,0.734626629,0.461838192,0.465956474,0.510871334,0.56679043,0.455734695,0.453196278,0.216596893,0.30545228,0.297717418,0.632781792,0.536097682,0.397224022
Barwani,Madhya Pradesh,23,24,441,0.366583001,0.668074713,0.70022575,0.777560644,0.652111886,0.365900259,0.514514287,0.35873294,0.17529472,0.684700888,0.552195309,0.691014597,0.407284402,0.496535802,0.61755479,0.683183929,0.683692144,0.570095861,0.186201383,0.211713439,0.184459405,0.695907211,0.429679484,0.40234642
Bastar,Chhattisgarh,22,15,414,0.199761264,0.508057344,0.530539107,0.587113515,0.542750926,0.309789936,0.246662181,0.102138287,0.496936805,0.446023406,0.517610298,0.566928223,0.276180612,0.370615175,0.481178076,0.473941877,0.513530915,0.422584162,0.007120343,0.261303881,0.277776868,0.433083675,0.377837527,0.341932514
Basti,Uttar Pradesh,9,54,185,0.835389868,1.203856915,1.097073995,1.128553242,1.0268658,0.654953586,0.642692613,0.900999867,0.909128099,1.007418777,1.191096671,1.535470096,1.200139238,1.204856783,1.263424612,1.628500861,1.645942845,1.041275029,0.7627377,0.681457365,0.739841532,1.23304734,1.185904388,1.094144675
Bathinda,Punjab,3,12,46,1.624983751,1.964419232,1.927843807,1.90623451,1.696150795,1.566471333,1.546886599,1.677234675,1.798837363,2.094450073,1.71268271,2.05234455,1.747662608,1.94719502,1.955685961,2.057198325,1.959489453,1.610955555,1.734267224,1.796005397,1.971037618,2.366174479,1.846342458,1.726398633
Bauda,Odisha,21,22,391,0.141498843,0.381878858,0.459897762,0.627768131,0.495297067,0.324526749,0.140252701,0.236768904,0.387977752,0.429583333,0.424464377,0.485573559,0.203222093,0.319227752,0.37163323,0.459018775,0.421511702,0.439584619,0.116345165,0.245980581,0.270333719,0.42048161,0.312216435,0.214400077
Begusarai,Bihar,10,20,222,2.135843971,2.489867318,2.440247405,2.143806864,2.214618914,2.058361922,1.439924183,1.933657223,2.363679182,1.885603551,2.54269553,3.368735034,1.762890066,1.878421787,1.877320431,1.871260975,1.909351557,1.870047885,1.228809856,1.954049279,1.724722664,2.522168793,2.303070629,2.233398843
Belgaum,Karnataka,29,1,555,0.661509005,1.002142002,1.005274155,0.957886992,0.942988401,0.997252154,0.60746387,0.667574789,0.707669141,0.659065079,0.972860298,1.002090913,0.716717191,0.855179036,0.9448159,0.850520235,0.947630786,0.802366757,0.339361173,0.516780553,0.45139471,0.941380595,0.748421957,0.721687122
Bellary,Karnataka,29,11,565,0.900050124,1.260313463,1.328423151,1.213152965,1.180597828,1.251164849,0.88580615,0.474462321,0.755816665,1.089530539,1.213014328,1.222422611,1.069174775,1.12874468,1.31003423,1.112811873,1.274207785,1.167283242,0.255558462,0.742528973,0.529039561,1.214806835,1.030934276,0.979464033
Betul,Madhya Pradesh,23,30,447,0.191284942,0.475324542,0.506752605,0.595821421,0.548403545,0.184567475,0.398796984,0.446943501,0.495862088,0.488335044,0.442819804,0.584639923,0.304958741,0.385764174,0.498724929,0.564863787,0.576519464,0.453551997,0.047482233,0.387628316,0.164751658,0.552709254,0.351126026,0.286948831
Bhadrak,Odisha,21,9,378,0.644589477,0.957818064,0.995732011,0.953819192,0.857069534,0.742291514,0.831350413,0.628911449,0.335611957,0.957981628,0.974340503,1.153590362,0.721230359,0.969351382,0.800491499,0.814144709,0.806312947,0.771590523,0.637975183,0.61617275,0.853059384,0.966507936,0.835079364,0.772358391
Bhagalpur,Bihar,10,22,224,1.581819913,1.886084169,1.926157365,1.777129459,1.541514941,1.306306037,0.735955321,1.341418114,0.828045135,1.481803141,1.774983987,3.197779813,1.568356968,1.844326015,1.699892497,1.494295516,1.425445256,1.419406069,1.008639066,1.220470417,1.184692743,2.084489173,1.87972705,1.743639828
Bhandara,Maharashtra,27,10,506,0.406713406,0.745698245,0.736251356,0.781317844,0.78205205,0.203686035,0.675542505,0.408360324,0.590796812,0.687810316,0.69699229,0.848455527,0.504643762,0.586627515,0.678320484,0.722858694,0.750210585,0.494768458,0.057180628,0.371856987,0.037993998,0.713589796,0.559343405,0.517524189
Bharatpur,Rajasthan,8,7,105,1.004843814,1.37552696,1.256831831,1.318850371,1.121536606,0.926936583,0.856707863,0.856413203,0.939397113,1.093702852,1.147748219,1.219258072,1.099134858,1.135438034,1.338296092,1.380122084,1.35072384,0.927614076,0.900197067,1.10108218,1.015980631,1.403966614,1.269155205,1.09907796
Bharuch,Gujarat,24,21,488,2.057985765,2.43093124,2.730562962,2.327868653,2.123297936,1.974380178,1.520143093,0.957852462,0.738922276,2.783932071,3.126924245,2.170066652,2.161556713,2.064903601,2.176683614,2.36444231,2.165517772,1.999022442,1.561370688,0.931224957,1.204488627,2.406533365,1.814145202,1.97767849
Bhavnagar,Gujarat,24,14,481,0.863511824,1.011088294,1.034173737,1.037574568,0.934371241,0.797545334,0.632342008,0.543540819,0.595496137,0.833975519,0.85268354,0.959226618,0.860372667,0.954886274,0.985714794,1.038762447,0.912750564,0.833813665,0.574628164,0.456208199,0.369074271,0.82861414,0.742910278,0.78219489
